,temp,precip,doy
626,-14.13,0.0,27.08
627,-14.34,0.0,27.12
628,-14.44,0.0,27.17
629,-14.15,0.0,27.21
630,-13.53,0.0,27.25
631,-14.38,0.0,27.29
632,-14.11,0.0,27.33
633,-13.5,0.0,27.38
634,-13.71,0.0,27.42
635,-10.63,0.0,27.46
636,-9.01,0.0,27.5
637,-8.39,0.0,27.54
638,-7.13,0.0,27.58
639,-6.615,0.0,27.62
640,-8.69,0.0,27.67
641,-9.96,0.0,27.71
642,-9.66,0.0,27.75
643,-8.32,0.0,27.79
644,-8.85,0.0,27.83
645,-8.96,0.0,27.88
646,-9.03,0.0,27.92
647,-8.83,0.0,27.96
648,-7.74,0.0,28.0
649,-8.67,0.0,28.04
650,-6.429,0.0,28.08
651,-7.6,0.0,28.12
652,-8.52,0.0,28.17
653,-7.91,0.0,28.21
654,-7.6,0.0,28.25
655,-7.72,0.0,28.29
656,-7.25,0.0,28.33
657,-7.37,0.0,28.38
658,-6.825,0.0,28.42
659,-4.004,0.0,28.46
660,-3.522,0.0,28.5
661,-3.575,0.0,28.54
662,-3.238,0.7,28.58
663,-4.442,0.6,28.62
664,-4.209,0.0,28.67
665,-5.022,0.0,28.71
666,-3.921,0.0,28.75
667,-4.246,0.0,28.79
668,-5.399,0.0,28.83
669,-7.09,0.0,28.88
670,-8.64,0.0,28.92
671,-9.67,0.0,28.96
672,-9.22,0.0,29.0
673,-7.34,0.0,29.04
674,-7.7,0.0,29.08
675,-5.856,0.0,29.12
676,-3.67,0.0,29.17
677,-3.876,0.0,29.21
678,-5.221,0.0,29.25
679,-7.79,0.0,29.29
680,-4.753,0.0,29.33
681,-5.48,0.0,29.38
682,-5.812,0.0,29.42
683,-4.447,0.0,29.46
684,-3.534,0.0,29.5
685,-3.681,0.0,29.54
686,-2.851,0.0,29.58
687,-4.331,0.0,29.62
688,-4.024,0.0,29.67
689,-6.141,0.0,29.71
690,-6.465,0.0,29.75
691,-7.25,0.0,29.79
692,-6.855,0.0,29.83
693,-7.68,0.0,29.88
694,-8.29,0.0,29.92
695,-7.23,0.0,29.96
696,-5.96,0.0,30.0
697,-4.302,0.0,30.04
698,-6.879,0.0,30.08
699,-3.932,0.0,30.12
700,-4.188,0.0,30.17
701,-5.843,0.0,30.21
702,-5.731,0.0,30.25
703,-6.279,0.0,30.29
704,-6.881,0.0,30.33
705,-6.783,0.0,30.38
706,-5.266,0.0,30.42
707,-3.143,0.0,30.46
708,-1.457,0.0,30.5
709,-1.046,0.0,30.54
710,0.01,0.0,30.58
711,-1.372,0.0,30.62
712,-3.036,0.0,30.67
713,-4.743,0.0,30.71
714,-4.578,0.0,30.75
715,-4.014,0.0,30.79
716,-4.677,0.0,30.83
717,-5.437,0.0,30.88
718,-4.861,0.0,30.92
719,-4.307,0.0,30.96
720,-2.619,0.0,31.0
721,-4.188,0.0,31.04
722,-4.158,0.0,31.08
723,-4.556,0.0,31.12
724,-4.302,0.0,31.17
725,-4.99,0.0,31.21
726,-5.475,0.0,31.25
727,-5.518,0.0,31.29
728,-4.714,0.0,31.33
729,-5.344,0.0,31.38
730,-4.365,0.0,31.42
731,-2.536,0.0,31.46
732,-1.43,0.0,31.5
733,-0.953,0.0,31.54
734,-1.385,0.0,31.58
735,-2.743,0.0,31.62
736,-3.694,0.0,31.67
737,-4.733,0.0,31.71
738,-5.185,0.0,31.75
739,-5.08,0.0,31.79
740,-6.11,0.0,31.83
741,-7.63,0.0,31.88
742,-6.922,0.0,31.92
743,-5.877,0.0,31.96
744,-5.627,0.0,32.0
745,-5.024,0.0,32.04
746,-6.7,0.0,32.08
747,-5.757,0.0,32.12
748,-6.326,0.0,32.17
749,-5.947,0.0,32.21
750,-5.358,0.0,32.25
751,-5.935,0.0,32.29
752,-6.54,0.0,32.33
753,-5.44,0.0,32.38
754,-3.922,0.0,32.42
755,-0.556,0.0,32.46
756,-0.355,0.0,32.5
757,-1.88,0.0,32.54
758,-0.88,0.0,32.58
759,-1.484,0.0,32.62
760,-2.345,0.0,32.67
761,-4.23,0.0,32.71
762,-4.162,0.0,32.75
763,-4.864,0.0,32.79
764,-4.955,0.0,32.83
765,-4.033,0.0,32.88
766,-4.346,0.0,32.92
767,-4.85,0.0,32.96
768,-3.081,0.0,33.0
769,-3.002,0.0,33.04
770,-2.949,0.0,33.08
771,-4.143,0.0,33.12
772,-2.936,0.0,33.17
773,-3.481,0.0,33.21
774,-3.628,0.0,33.25
775,-3.703,0.0,33.29
776,-3.938,0.0,33.33
777,-3.496,0.0,33.38
778,-2.687,0.0,33.42
779,-0.887,0.0,33.46
780,-0.152,0.0,33.5
781,0.922,0.0,33.54
782,0.25,0.0,33.58
783,0.308,0.0,33.62
784,-1.355,0.0,33.67
785,-3.317,0.0,33.71
786,-3.697,0.0,33.75
787,-4.396,0.0,33.79
788,-5.007,0.0,33.83
789,-4.862,0.0,33.88
790,-5.104,0.0,33.92
791,-4.794,0.0,33.96
792,-5.609,0.0,34.0
793,-5.406,0.0,34.04
794,-5.846,0.0,34.08
795,-5.371,0.0,34.12
796,-5.437,0.0,34.17
797,-5.463,0.0,34.21
798,-6.304,0.0,34.25
799,-7.26,0.0,34.29
800,-6.375,0.0,34.33
801,-5.956,0.0,34.38
802,-4.358,0.0,34.42
803,-3.359,0.0,34.46
804,-1.819,0.0,34.5
805,-0.549,0.0,34.54
806,0.266,0.0,34.58
807,-0.621,0.0,34.62
808,-2.686,0.0,34.67
809,-3.935,0.0,34.71
810,-3.702,0.0,34.75
811,-5.411,0.0,34.79
812,-5.159,0.0,34.83
813,-4.961,0.0,34.88
814,-5.251,0.0,34.92
815,-4.289,0.0,34.96
816,-4.039,0.0,35.0
817,-0.494,0.0,35.04
818,-0.625,0.0,35.08
819,-1.44,0.0,35.12
820,-1.649,0.0,35.17
821,-1.934,0.0,35.21
822,0.566,0.0,35.25
823,0.511,0.0,35.29
824,0.294,0.0,35.33
825,-0.541,0.0,35.38
826,0.357,0.0,35.42
827,0.831,0.0,35.46
828,-0.584,0.0,35.5
829,1.013,0.0,35.54
830,0.195,0.0,35.58
831,-0.601,0.0,35.62
832,-1.278,0.0,35.67
833,-2.607,0.0,35.71
834,-4.334,0.0,35.75
835,-3.924,0.0,35.79
836,-2.865,0.0,35.83
837,-4.669,0.0,35.88
838,-4.407,0.0,35.92
839,-3.381,0.0,35.96
840,-2.37,0.0,36.0
841,-4.66,0.0,36.04
842,-4.327,0.0,36.08
843,-3.164,0.0,36.12
844,-5.639,0.0,36.17
845,-2.635,0.0,36.21
846,-0.757,0.0,36.25
847,-2.252,0.0,36.29
848,-3.302,0.0,36.33
849,-4.389,0.0,36.38
850,-2.804,0.0,36.42
851,0.297,0.0,36.46
852,0.258,0.0,36.5
853,0.427,0.0,36.54
854,0.335,0.0,36.58
855,0.398,0.0,36.62
856,-1.621,0.0,36.67
857,-2.77,0.0,36.71
858,-3.993,0.0,36.75
859,-2.966,0.0,36.79
860,-5.468,0.0,36.83
861,-7.37,0.0,36.88
862,-7.5,0.0,36.92
863,-8.49,0.0,36.96
864,-9.33,0.0,37.0
865,-9.0,0.0,37.04
866,-8.76,0.0,37.08
867,-9.68,0.0,37.12
868,-10.16,0.0,37.17
869,-11.19,0.0,37.21
870,-11.51,0.0,37.25
871,-11.15,0.0,37.29
872,-10.42,0.0,37.33
873,-8.29,0.0,37.38
874,-7.44,0.0,37.42
875,-7.29,0.0,37.46
876,-7.23,0.0,37.5
877,-7.1,0.0,37.54
878,-6.964,0.0,37.58
879,-6.734,0.0,37.62
880,-8.21,0.0,37.67
881,-9.56,0.0,37.71
882,-9.43,0.0,37.75
883,-8.63,0.0,37.79
884,-9.14,0.0,37.83
885,-9.87,0.0,37.88
886,-10.41,0.0,37.92
887,-9.81,0.0,37.96
888,-9.71,0.0,38.0
889,-10.56,0.0,38.04
890,-9.82,0.0,38.08
891,-9.8,0.0,38.12
892,-9.94,0.0,38.17
893,-9.99,0.0,38.21
894,-9.07,0.0,38.25
895,-9.2,0.0,38.29
896,-8.79,0.0,38.33
897,-8.26,0.0,38.38
898,-8.46,0.0,38.42
899,-7.41,0.0,38.46
900,-6.805,0.0,38.5
901,-5.147,0.0,38.54
902,-5.16,0.0,38.58
903,-7.41,0.0,38.62
904,-6.318,0.0,38.67
905,-6.428,0.0,38.71
906,-6.706,0.0,38.75
907,-7.56,0.0,38.79
908,-7.36,0.0,38.83
909,-7.68,0.0,38.88
910,-8.46,0.0,38.92
911,-9.09,0.0,38.96
912,-10.42,0.0,39.0
913,-10.86,0.0,39.04
914,-11.15,0.0,39.08
915,-10.41,0.0,39.12
916,-10.16,0.0,39.17
917,-8.89,0.0,39.21
918,-6.594,0.0,39.25
919,-4.415,0.0,39.29
920,-5.194,0.0,39.33
921,-7.33,0.0,39.38
922,-3.473,0.0,39.42
923,-3.628,0.0,39.46
924,-3.956,0.0,39.5
925,-2.052,0.0,39.54
926,-1.829,0.0,39.58
927,-2.715,0.0,39.62
928,-3.363,0.0,39.67
929,-4.077,0.0,39.71
930,-4.714,0.0,39.75
931,-5.175,0.0,39.79
932,-5.421,0.0,39.83
