datetime_index,year,month,day,hour,mn,sec,event_ID,doy,datetime
2007-06-18 21:07:59,7,6,18,21,7,59,70618210759,169,2007-06-18 21:07:59
2007-06-18 22:14:59,7,6,18,22,14,59,70618221459,169,2007-06-18 22:14:59
2007-06-18 23:15:00,7,6,18,23,15,0,70618231500,169,2007-06-18 23:15:00
2007-06-18 23:39:00,7,6,18,23,39,0,70618233900,169,2007-06-18 23:39:00
2007-06-18 23:55:00,7,6,18,23,55,0,70618235500,169,2007-06-18 23:55:00
2007-06-19 00:11:00,7,6,19,0,11,0,70619001100,170,2007-06-19 00:11:00
2007-06-19 00:38:00,7,6,19,0,38,0,70619003800,170,2007-06-19 00:38:00
2007-06-19 01:27:00,7,6,19,1,27,0,70619012700,170,2007-06-19 01:27:00
2007-06-19 01:38:00,7,6,19,1,38,0,70619013800,170,2007-06-19 01:38:00
2007-06-19 01:55:00,7,6,19,1,55,0,70619015500,170,2007-06-19 01:55:00
2007-06-19 02:06:00,7,6,19,2,6,0,70619020600,170,2007-06-19 02:06:00
2007-06-19 02:23:59,7,6,19,2,23,59,70619022359,170,2007-06-19 02:23:59
2007-06-19 02:53:59,7,6,19,2,53,59,70619025359,170,2007-06-19 02:53:59
2007-06-19 03:06:59,7,6,19,3,6,59,70619030659,170,2007-06-19 03:06:59
2007-06-19 03:35:59,7,6,19,3,35,59,70619033559,170,2007-06-19 03:35:59
2007-06-19 03:57:59,7,6,19,3,57,59,70619035759,170,2007-06-19 03:57:59
2007-06-19 04:31:59,7,6,19,4,31,59,70619043159,170,2007-06-19 04:31:59
2007-06-19 04:49:00,7,6,19,4,49,0,70619044900,170,2007-06-19 04:49:00
2007-06-19 05:25:00,7,6,19,5,25,0,70619052500,170,2007-06-19 05:25:00
2007-06-19 05:42:00,7,6,19,5,42,0,70619054200,170,2007-06-19 05:42:00
2007-06-19 06:21:00,7,6,19,6,21,0,70619062100,170,2007-06-19 06:21:00
2007-06-19 06:42:00,7,6,19,6,42,0,70619064200,170,2007-06-19 06:42:00
2007-06-19 07:00:59,7,6,19,7,0,59,70619070059,170,2007-06-19 07:00:59
2007-06-19 07:19:59,7,6,19,7,19,59,70619071959,170,2007-06-19 07:19:59
2007-06-19 08:00:59,7,6,19,8,0,59,70619080059,170,2007-06-19 08:00:59
2007-06-19 08:17:59,7,6,19,8,17,59,70619081759,170,2007-06-19 08:17:59
2007-06-19 08:44:59,7,6,19,8,44,59,70619084459,170,2007-06-19 08:44:59
2007-06-19 08:55:59,7,6,19,8,55,59,70619085559,170,2007-06-19 08:55:59
2007-06-19 09:09:00,7,6,19,9,9,0,70619090900,170,2007-06-19 09:09:00
2007-06-19 09:41:00,7,6,19,9,41,0,70619094100,170,2007-06-19 09:41:00
2007-06-19 10:12:00,7,6,19,10,12,0,70619101200,170,2007-06-19 10:12:00
2007-06-19 10:54:00,7,6,19,10,54,0,70619105400,170,2007-06-19 10:54:00
2007-06-19 21:42:59,7,6,19,21,42,59,70619214259,170,2007-06-19 21:42:59
2007-06-19 22:34:59,7,6,19,22,34,59,70619223459,170,2007-06-19 22:34:59
2007-06-19 23:28:00,7,6,19,23,28,0,70619232800,170,2007-06-19 23:28:00
2007-06-20 00:21:00,7,6,20,0,21,0,70620002100,171,2007-06-20 00:21:00
2007-06-20 00:34:00,7,6,20,0,34,0,70620003400,171,2007-06-20 00:34:00
2007-06-20 01:18:00,7,6,20,1,18,0,70620011800,171,2007-06-20 01:18:00
2007-06-20 01:34:00,7,6,20,1,34,0,70620013400,171,2007-06-20 01:34:00
2007-06-20 02:26:59,7,6,20,2,26,59,70620022659,171,2007-06-20 02:26:59
2007-06-20 02:45:59,7,6,20,2,45,59,70620024559,171,2007-06-20 02:45:59
2007-06-20 03:09:59,7,6,20,3,9,59,70620030959,171,2007-06-20 03:09:59
2007-06-20 03:21:59,7,6,20,3,21,59,70620032159,171,2007-06-20 03:21:59
2007-06-20 04:22:59,7,6,20,4,22,59,70620042259,171,2007-06-20 04:22:59
2007-06-20 04:39:00,7,6,20,4,39,0,70620043900,171,2007-06-20 04:39:00
2007-06-20 05:05:00,7,6,20,5,5,0,70620050500,171,2007-06-20 05:05:00
2007-06-20 06:26:00,7,6,20,6,26,0,70620062600,171,2007-06-20 06:26:00
2007-06-20 07:11:59,7,6,20,7,11,59,70620071159,171,2007-06-20 07:11:59
2007-06-20 07:34:59,7,6,20,7,34,59,70620073459,171,2007-06-20 07:34:59
2007-06-20 08:28:59,7,6,20,8,28,59,70620082859,171,2007-06-20 08:28:59
2007-06-20 08:49:59,7,6,20,8,49,59,70620084959,171,2007-06-20 08:49:59
2007-06-20 09:04:59,7,6,20,9,4,59,70620090459,171,2007-06-20 09:04:59
2007-06-20 09:54:00,7,6,20,9,54,0,70620095400,171,2007-06-20 09:54:00
2007-06-20 15:37:00,7,6,20,15,37,0,70620153700,171,2007-06-20 15:37:00
2007-06-21 16:36:59,7,6,21,16,36,59,70621163659,172,2007-06-21 16:36:59
2007-06-21 16:57:59,7,6,21,16,57,59,70621165759,172,2007-06-21 16:57:59
2007-06-21 17:30:59,7,6,21,17,30,59,70621173059,172,2007-06-21 17:30:59
2007-06-21 17:46:59,7,6,21,17,46,59,70621174659,172,2007-06-21 17:46:59
2007-06-21 18:11:59,7,6,21,18,11,59,70621181159,172,2007-06-21 18:11:59
2007-06-21 18:34:00,7,6,21,18,34,0,70621183400,172,2007-06-21 18:34:00
2007-06-21 18:50:00,7,6,21,18,50,0,70621185000,172,2007-06-21 18:50:00
2007-06-21 19:03:00,7,6,21,19,3,0,70621190300,172,2007-06-21 19:03:00
2007-06-21 19:14:00,7,6,21,19,14,0,70621191400,172,2007-06-21 19:14:00
2007-06-21 19:44:00,7,6,21,19,44,0,70621194400,172,2007-06-21 19:44:00
2007-06-21 20:06:00,7,6,21,20,6,0,70621200600,172,2007-06-21 20:06:00
2007-06-21 20:21:00,7,6,21,20,21,0,70621202100,172,2007-06-21 20:21:00
2007-06-21 20:41:59,7,6,21,20,41,59,70621204159,172,2007-06-21 20:41:59
2007-06-21 21:01:59,7,6,21,21,1,59,70621210159,172,2007-06-21 21:01:59
2007-06-21 21:12:59,7,6,21,21,12,59,70621211259,172,2007-06-21 21:12:59
2007-06-21 21:25:59,7,6,21,21,25,59,70621212559,172,2007-06-21 21:25:59
2007-06-21 21:39:59,7,6,21,21,39,59,70621213959,172,2007-06-21 21:39:59
2007-06-21 21:55:59,7,6,21,21,55,59,70621215559,172,2007-06-21 21:55:59
2007-06-21 22:09:59,7,6,21,22,9,59,70621220959,172,2007-06-21 22:09:59
2007-06-21 22:24:59,7,6,21,22,24,59,70621222459,172,2007-06-21 22:24:59
2007-06-21 22:51:00,7,6,21,22,51,0,70621225100,172,2007-06-21 22:51:00
2007-06-21 23:09:00,7,6,21,23,9,0,70621230900,172,2007-06-21 23:09:00
2007-06-21 23:20:00,7,6,21,23,20,0,70621232000,172,2007-06-21 23:20:00
2007-06-21 23:37:00,7,6,21,23,37,0,70621233700,172,2007-06-21 23:37:00
2007-06-21 23:48:00,7,6,21,23,48,0,70621234800,172,2007-06-21 23:48:00
2007-06-22 00:09:00,7,6,22,0,9,0,70622000900,173,2007-06-22 00:09:00
2007-06-22 00:22:00,7,6,22,0,22,0,70622002200,173,2007-06-22 00:22:00
2007-06-22 00:34:00,7,6,22,0,34,0,70622003400,173,2007-06-22 00:34:00
2007-06-22 00:52:00,7,6,22,0,52,0,70622005200,173,2007-06-22 00:52:00
2007-06-22 01:05:00,7,6,22,1,5,0,70622010500,173,2007-06-22 01:05:00
2007-06-22 01:16:00,7,6,22,1,16,0,70622011600,173,2007-06-22 01:16:00
2007-06-22 01:27:00,7,6,22,1,27,0,70622012700,173,2007-06-22 01:27:00
2007-06-22 01:50:00,7,6,22,1,50,0,70622015000,173,2007-06-22 01:50:00
2007-06-22 02:28:59,7,6,22,2,28,59,70622022859,173,2007-06-22 02:28:59
2007-06-22 02:47:59,7,6,22,2,47,59,70622024759,173,2007-06-22 02:47:59
2007-06-22 03:31:59,7,6,22,3,31,59,70622033159,173,2007-06-22 03:31:59
2007-06-22 03:48:59,7,6,22,3,48,59,70622034859,173,2007-06-22 03:48:59
2007-06-22 04:00:59,7,6,22,4,0,59,70622040059,173,2007-06-22 04:00:59
2007-06-22 04:41:00,7,6,22,4,41,0,70622044100,173,2007-06-22 04:41:00
2007-06-22 04:54:00,7,6,22,4,54,0,70622045400,173,2007-06-22 04:54:00
2007-06-22 05:06:00,7,6,22,5,6,0,70622050600,173,2007-06-22 05:06:00
2007-06-22 05:20:00,7,6,22,5,20,0,70622052000,173,2007-06-22 05:20:00
2007-06-22 05:41:00,7,6,22,5,41,0,70622054100,173,2007-06-22 05:41:00
2007-06-22 05:57:00,7,6,22,5,57,0,70622055700,173,2007-06-22 05:57:00
2007-06-22 06:13:00,7,6,22,6,13,0,70622061300,173,2007-06-22 06:13:00
2007-06-22 06:39:00,7,6,22,6,39,0,70622063900,173,2007-06-22 06:39:00
2007-06-22 07:19:59,7,6,22,7,19,59,70622071959,173,2007-06-22 07:19:59
2007-06-22 07:49:59,7,6,22,7,49,59,70622074959,173,2007-06-22 07:49:59
2007-06-22 08:39:59,7,6,22,8,39,59,70622083959,173,2007-06-22 08:39:59
2007-06-22 09:43:00,7,6,22,9,43,0,70622094300,173,2007-06-22 09:43:00
2007-06-22 09:58:00,7,6,22,9,58,0,70622095800,173,2007-06-22 09:58:00
2007-06-22 10:18:00,7,6,22,10,18,0,70622101800,173,2007-06-22 10:18:00
2007-06-22 10:44:00,7,6,22,10,44,0,70622104400,173,2007-06-22 10:44:00
2007-06-22 14:21:00,7,6,22,14,21,0,70622142100,173,2007-06-22 14:21:00
2007-06-22 15:27:00,7,6,22,15,27,0,70622152700,173,2007-06-22 15:27:00
2007-06-22 15:58:59,7,6,22,15,58,59,70622155859,173,2007-06-22 15:58:59
2007-06-22 17:02:59,7,6,22,17,2,59,70622170259,173,2007-06-22 17:02:59
2007-06-22 17:14:59,7,6,22,17,14,59,70622171459,173,2007-06-22 17:14:59
2007-06-22 17:31:59,7,6,22,17,31,59,70622173159,173,2007-06-22 17:31:59
2007-06-22 17:42:59,7,6,22,17,42,59,70622174259,173,2007-06-22 17:42:59
2007-06-22 18:03:59,7,6,22,18,3,59,70622180359,173,2007-06-22 18:03:59
2007-06-22 18:17:00,7,6,22,18,17,0,70622181700,173,2007-06-22 18:17:00
2007-06-22 18:30:00,7,6,22,18,30,0,70622183000,173,2007-06-22 18:30:00
2007-06-22 18:45:00,7,6,22,18,45,0,70622184500,173,2007-06-22 18:45:00
2007-06-22 18:57:00,7,6,22,18,57,0,70622185700,173,2007-06-22 18:57:00
2007-06-22 19:14:00,7,6,22,19,14,0,70622191400,173,2007-06-22 19:14:00
2007-06-22 19:25:00,7,6,22,19,25,0,70622192500,173,2007-06-22 19:25:00
2007-06-22 19:50:00,7,6,22,19,50,0,70622195000,173,2007-06-22 19:50:00
